"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"pdet.d2[8]",0.420382727344412,0.0412551053448016,0.340513815127158,0.39231532334642,0.420593957928062,0.448037338849673,0.502939745463557,1.0015632183247,1700
"pdet.d2[9]",0.54490001792624,0.0444328191685551,0.459038078160526,0.514658741139776,0.545065732686833,0.575259839316209,0.632413838156802,1.00126200876484,2300
"pdet.d2[10]",0.254912983289456,0.0146675144561134,0.226796470565608,0.24453867193706,0.254665749784544,0.264984949362931,0.283412173553026,1.00303270945336,760
"pdet.d2[11]",0.639076834632457,0.0169608493149803,0.60559695194148,0.627448305794349,0.639016530050968,0.650407852103651,0.672450008677984,1.0008334954082,2500
"pdet.d2[12]",0.163307864243695,0.0105388213122741,0.142815963460881,0.156102270759799,0.163430737959776,0.170523017626076,0.183797558090798,1.00401277021855,560
"pdet.d2[13]",0.72036669516311,0.0162331901127256,0.687495949886317,0.709447812293726,0.720899719779004,0.731467590697894,0.750754469655819,1.00390018946476,570
"pdet.d2[14]",0.253441233439916,0.052863107240934,0.159771195288737,0.216044226001357,0.250529486583504,0.286378842666278,0.363451472917758,1.0463638719263,49
"pdet.d3[1]",0.304903701097806,0.286713263352433,0.000116989271301383,0.00139465559912405,0.272929457926593,0.523208891137454,0.898035970355894,5.60567361077073,3
"pdet.d3[2]",0.334274934237582,0.302322868005206,0.000129513985175027,0.000688780241388716,0.322119464907678,0.580672016950301,0.915062064416376,9.16799927895501,3
"pdet.d3[3]",0.30563189743825,0.287549459141342,4.74412857206614e-05,0.000546201043012461,0.274923177872875,0.528803209745585,0.888374738056103,6.97698008801166,3
"pdet.d3[4]",0.231833437276381,0.251709542442753,3.48159793918117e-06,0.000571682301023508,0.158139121922799,0.39267070147616,0.838481827310456,4.33861429868284,3
"pdet.d3[5]",0.302648138804027,0.291495494608033,6.57097043048822e-05,0.000730294826440349,0.257090880018479,0.531621279135499,0.898660682053907,6.83944674304884,3
"pdet.d3[6]",0.598625189818951,0.205925338190439,0.161924346752081,0.458926692629834,0.607186214507895,0.757588935907796,0.941747870863743,1.07849164514161,290
"pdet.d3[7]",0.272330868919032,0.0883822283592761,0.111637070769296,0.207784776971694,0.268128008800614,0.331116476666914,0.451807439296475,1.04564830334665,56
"pdet.d3[8]",0.363734196554405,0.0381495730572492,0.289955345481556,0.337025408743086,0.363525870668457,0.389852112934141,0.440032969062409,1.00196049594777,1300
"pdet.d3[9]",0.485647665723811,0.0441597717747981,0.398304384621626,0.455643763991916,0.485057152365711,0.5158003837014,0.572342228877506,1.001438620403,1900
"pdet.d3[10]",0.212180895045634,0.0125934637255434,0.188534214246053,0.203407684867523,0.212067885158097,0.220487625795875,0.237587295983223,1.00459241507761,480
"pdet.d3[11]",0.582326146253785,0.0162351306289131,0.55059392326126,0.570985781639707,0.582517495384197,0.593369010557101,0.614330131213939,1.00055355264525,2500
"pdet.d3[12]",0.133172578692869,0.00865213771217817,0.116552827551669,0.127219080245703,0.133130044734828,0.139073805678951,0.15015762489434,1.00586096409794,390
"pdet.d3[13]",0.669806308021059,0.0168240759687327,0.635894548632544,0.65860309386141,0.669986708234519,0.68148780950036,0.702448649202303,1.00321488174959,750
"pdet.d3[14]",0.211364271830898,0.0462559191712834,0.130167754453965,0.178828743794261,0.209119515537931,0.241112661099061,0.307415360978402,1.04861975866896,47
"psi.fs[1]",0.116514053630451,0.185849529143766,0.000294521892794031,0.00098173964264677,0.00245434910661693,0.247128232220485,0.539720615981757,5.22948409052341,3
"psi.fs[2]",0.306865365747849,0.431247865339892,0.000589043785588062,0.00166895739249951,0.00333791478499902,0.888842527944708,0.965484477311316,8.84649360995081,3
